60	127
60	126
61	127
62	126
62	128
61	128
61	129
59	127
58	126
58	125
59	124
59	125
61	125
61	126
97	74
98	75
98	74
97	75
98	76
96	76
99	75
96	74
98	77
96	75
100	77
89	90
90	91
88	90
89	91
86	88
54	125
54	124
55	123
56	124
55	125
56	126
55	126
51	130
60	74
59	74
59	73
59	75
57	74
68	100
67	100
67	101
102	84
104	83
103	85
101	84
66	103
60	121
60	120
61	121
61	120
63	124
62	123
61	130
59	123
56	125
62	114
61	134
58	121
57	121
57	128
56	129
60	124
62	127
64	128
62	118
57	123
59	122
60	122
64	126
64	119
62	120
62	121
56	131
68	121
65	115
55	128
57	119
65	123
61	131
64	134
71	121
61	138
69	133
69	125
69	106
69	107
67	106
76	114
81	118
73	103
71	99
74	97
71	110
68	111
74	111
72	113
84	115
63	110
63	112
63	102
54	100
60	110
51	110
62	97
65	99
54	112
69	95
59	99
55	94
57	103
55	106
58	107
48	109
63	89
56	92
60	91
58	83
68	80
59	88
68	88
72	93
70	85
66	84
63	79
56	80
56	87
50	67
73	66
70	70
56	71
73	70
61	78
66	77
69	75
66	62
62	66
61	72
59	64
57	63
54	61
56	66
52	71
52	72
52	77
57	77
57	56
48	59
50	66
102	94
102	95
100	91
80	96
91	106
84	96
89	111
95	93
81	102
81	106
91	90
88	99
90	101
96	103
97	108
102	103
91	86
83	87
83	91
85	93
86	107
90	113
102	115
127	127
90	77
91	76
89	76
91	75
81	75
87	68
80	71
95	77
92	83
90	69
97	79
83	78
86	77
87	83
85	71
77	68
74	73
76	80
74	82
77	86
81	84
53	38
52	33
73	134
76	122
92	131
97	127
95	119
87	141
98	125
75	130
77	125
86	119
84	123
89	123
65	139
72	139
77	139
80	138
85	145
88	138
